timestamp,region,score
1772344811.1748686,MEXICO,20
1772344806.6663017,RUSIA_UCRANIA,80
1772344806.819902,USA,20
1772344812.8535528,BRASIL,20
1772344814.589302,ASIA_PACIFICO,20
1772346613.4538,ARGENTINA,20
1772346612.3793848,LATAM,20
1772346617.605217,SAHEL,36
1772346605.07927,ESPANA,20
1772346626.3054006,NORTH_KOREA,48
1772346619.767716,EUROPA_CORE,20
1772346629.4172904,AUSTRALIA,20
1772346611.810717,CHINA,20
1772346604.848351,IRAN_M_ORIENTE,75
1772346612.6625383,MEXICO,20
1772346607.7053032,RUSIA_UCRANIA,80
1772346607.8684955,USA,20
1772346616.7017057,BRASIL,20
1772346618.6499226,ASIA_PACIFICO,20
1772348411.8804083,ARGENTINA,20
1772348410.843387,LATAM,20
1772348413.655015,SAHEL,36
1772348404.5874755,ESPANA,20
1772348422.000757,NORTH_KOREA,48
1772348415.5893347,EUROPA_CORE,20
1772348425.0358338,AUSTRALIA,20
1772348410.3266401,CHINA,20
1772348404.4064403,IRAN_M_ORIENTE,75
1772348411.1188786,MEXICO,20
1772348407.2265308,RUSIA_UCRANIA,80
1772348407.3495564,USA,20
1772348412.8882833,BRASIL,20
1772348414.6998916,ASIA_PACIFICO,20
1772350214.4246972,ARGENTINA,20
1772350213.7004654,LATAM,20
1772350217.52701,SAHEL,36
1772350208.0668054,ESPANA,20
1772350226.6205928,NORTH_KOREA,48
1772350219.4347608,EUROPA_CORE,20
1772350229.8614545,AUSTRALIA,20
1772350213.1382375,CHINA,20
1772350207.8386998,IRAN_M_ORIENTE,75
1772350213.8116453,MEXICO,20
1772350210.764814,RUSIA_UCRANIA,80
1772350210.9194295,USA,20
1772350216.4469259,BRASIL,20
1772350218.538816,ASIA_PACIFICO,20
1772352011.8245864,ARGENTINA,20
1772352011.0563347,LATAM,20
1772352013.7918217,SAHEL,36
1772352004.1149135,ESPANA,20
1772352022.0420117,NORTH_KOREA,48
1772352015.7081525,EUROPA_CORE,20
1772352025.1088645,AUSTRALIA,20
1772352010.6154287,CHINA,20
1772352003.9304075,IRAN_M_ORIENTE,75
1772352011.1828098,MEXICO,20
1772352007.739396,RUSIA_UCRANIA,80
1772352007.920773,USA,20
1772352012.9877396,BRASIL,20
1772352014.7761388,ASIA_PACIFICO,20
1772353812.465505,ARGENTINA,20
1772353811.6890032,LATAM,20
1772353814.5569942,SAHEL,36
1772353805.168912,ESPANA,20
1772353823.1739197,NORTH_KOREA,48
1772353816.5814843,EUROPA_CORE,20
1772353825.4089332,AUSTRALIA,20
1772353811.134109,CHINA,20
1772353804.9469755,IRAN_M_ORIENTE,75
1772353811.804115,MEXICO,20
1772353807.7578712,RUSIA_UCRANIA,80
1772353807.9411364,USA,20
1772353813.682149,BRASIL,20
1772353815.5858905,ASIA_PACIFICO,20
1772355611.0944378,ARGENTINA,20
1772355610.3118362,LATAM,20
1772355613.778924,SAHEL,36
1772355604.6812484,ESPANA,20
1772355621.1211865,NORTH_KOREA,48
1772355615.5900977,EUROPA_CORE,20
1772355622.778418,AUSTRALIA,20
1772355609.8261228,CHINA,20
1772355604.501396,IRAN_M_ORIENTE,75
1772355610.4350545,MEXICO,20
1772355607.1567013,RUSIA_UCRANIA,80
1772355607.3045063,USA,20
1772355613.0248024,BRASIL,20
1772355614.7653856,ASIA_PACIFICO,20
